Name,Near Location,State,FIPS,Type of Facility,Listed Capacity,Max Capacity
Unlisted - Linn County,Linn County,Oregon,41043,Unlisted,2078,1272
Snake River Correctional Facility,Malheur County,Oregon,41045,State,69,6866
Unlisted - Malheur County,Malheur County,Oregon,41045,Unlisted,1651,2564
Hillcrest Youth Correctional Facility ,Marion County,Oregon,41047,State,213,4005
MacLaren Youth Correctional Facility ,Marion County,Oregon,41047,State,1000,3226
Marion County Correctional Facility,Marion County,Oregon,41047,Local,2614,3636
Mill Creek Correctional Facility ,Marion County,Oregon,41047,State,1017,1637
Oregon State Correctional Institution ,Marion County,Oregon,41047,State,2010,1007
Oregon State Penitentiary ,Marion County,Oregon,41047,State,2185,857
Santiam Correctional Institution ,Marion County,Oregon,41047,State,621,3913
Unlisted - Marion County,Marion County,Oregon,41047,Unlisted,2614,2271
Columbia River Correctional Institution ,Multnomah County,Oregon,41051,State,1985,2942
Multnomah County Inverness Jail,Multnomah County,Oregon,41051,Local,942,6585
Unlisted - Multnomah County I,Multnomah County,Oregon,41051,Unlisted,115,4318
Unlisted - Multnomah County II,Multnomah County,Oregon,41051,Unlisted,1616,64
Unlisted - Multnomah County III,Multnomah County,Oregon,41051,Unlisted,923,6702
Unlisted - Polk County,Polk County,Oregon,41053,Unlisted,1504,1580
South Fork Forest Camp,Tillamook County,Oregon,41057,State,2671,2324
Tillamook County Jail,Tillamook County,Oregon,41057,Local,542,5697
Tillamook Youth Correctional Facility ,Tillamook County,Oregon,41057,State,2597,3917
Eastern Oregon Correctional Institution ,Umatilla County,Oregon,41059,State,599,4444
Two Rivers Correctional Institution ,Umatilla County,Oregon,41059,State,1141,4645
Umatilla County Jail,Umatilla County,Oregon,41059,State,967,5873
Unlisted - Union County,Union County,Oregon,41061,Unlisted,1191,1826
Unlisted - Washington County,Washington County,Oregon,41067,Unlisted,1359,735
Washington County Community Corrections,Washington County,Oregon,41067,State,475,2721
Washington County Jail,Washington County,Oregon,41067,Local,2760,2761
Camp Sheridan,Yamhill County,Oregon,41071,Federal,1407,4592
Sheridan Federal Correctional Institution ,Yamhill County,Oregon,41071,Federal,101,350
Yamhill County Federal Correctional Institution ,Yamhill County,Oregon,41071,Federal,1156,6745
Unlisted - Yamhill County,Yamhill County,Oregon,41071,Unlisted,272,673
Adams County Adult Correctional Facility,Adams County,Pennsylvania,42001,Local,1077,2939
Allegheny County Jail,Allegheny County,Pennsylvania,42003,Local,1987,5035
Allegheny County Federal Correctional Institution ,Allegheny County,Pennsylvania,42003,Federal,2098,787
Pittsburg State Correctional Institution,Allegheny County,Pennsylvania,42003,State,1787,4084
Unlisted - Allegheny County,Allegheny County,Pennsylvania,42003,Unlisted,303,4664
Unlisted - Armstrong County,Armstrong County,Pennsylvania,42005,Unlisted,1613,5601
Penn Pavilion Correctional Facility,Beaver County,Pennsylvania,42007,Private,2296,4819
Unlisted - Beaver County,Beaver County,Pennsylvania,42007,Unlisted,1254,3342
Unlisted - Bedford County,Bedford County,Pennsylvania,42009,Unlisted,826,1503
Berks County Family Shelter,Berks County,Pennsylvania,42011,State,621,6961
Berks County Jail,Berks County,Pennsylvania,42011,Local,1653,2808
Unlisted - Berks County,Berks County,Pennsylvania,42011,Unlisted,1221,6227
Blair County Prison,Blair County,Pennsylvania,42013,Local,552,5246
Unlisted - Blair County,Blair County,Pennsylvania,42013,Local,1790,3147
Unlisted - Bradford County,Bradford County,Pennsylvania,42015,Local,314,1482
Men's/Women's Community Corrections Centers,Bradford County,Pennsylvania,42015,Local,1302,4626
"Bucks County Department of Corrections, ",Bucks County,Pennsylvania,42017,Local,2556,3501
Unlisted - Bucks County,Bucks County,Pennsylvania,42017,Unlisted,1460,4753
Butler County Prison,Butler County,Pennsylvania,42019,Local,1633,3776
Cambria County Jail,Cambria County,Pennsylvania,42021,State,2709,4554
Cambria County Prison,Cambria County,Pennsylvania,42021,Local,2343,4390
Loretto Federal Correctional Institution ,Cambria County,Pennsylvania,42021,Federal,1788,5775
State Correctional Institution Cresson,Cambria County,Pennsylvania,42021,State,625,2504
Unlisted - Cambria County,Cambria County,Pennsylvania,42021,Unlisted,2762,6418
Unlisted - Carbon County,Carbon County,Pennsylvania,42025,Unlisted,128,1185
Centre County Prison,Centre County,Pennsylvania,42027,Local,414,4097
Rockview State Correctional Institution ,Centre County,Pennsylvania,42027,State,2726,6677
Benner Township State Correctional Institution ,Centre County,Pennsylvania,42027,State,2699,881
Unlisted - Centre County,Centre County,Pennsylvania,42027,Unlisted,1528,4563
Chester County Prison,Chester County,Pennsylvania,42029,Local,1571,6689
Unlisted - Clarion County,Clarion County,Pennsylvania,42031,Unlisted,2622,1245
Moshannon Valley Correctional Center,Clearfield County,Pennsylvania,42033,Private,1766,1199
Quehanna Boot Camp Correctional Facility,Clearfield County,Pennsylvania,42033,State,1473,170
Clearfield State Correctional Institution ,Clearfield County,Pennsylvania,42033,State,74,6860
Houtzdale State Correctional Institution ,Clearfield County,Pennsylvania,42033,State,875,2787
Unlisted - Clearfield County,Clearfield County,Pennsylvania,42033,Unlisted,1277,1284
Clinton County Correctional Facility,Clinton County,Pennsylvania,42035,Federal,553,6401
Clinton County Jail,Clinton County,Pennsylvania,42035,Local,492,3915
Unlisted - Columbia County,Columbia County,Pennsylvania,42037,Unlisted,1883,1455
Cambridge Springs State Correctional Institution ,Crawford County,Pennsylvania,42039,State,2352,4671
Unlisted - Crawford County,Crawford County,Pennsylvania,42039,Unlisted,2621,5261
Cumberland County Prison,Cumberland County,Pennsylvania,42041,Local,2761,4132
Camp Hill State Correctional Institution ,Cumberland County,Pennsylvania,42041,State,1019,5651
Dauphin County Prison,Dauphin County,Pennsylvania,42043,Local,440,4477
Unlisted - Dauphin County,Dauphin County,Pennsylvania,42043,Unlisted,1419,2774
Delaware County Prison,Delaware County,Pennsylvania,42045,Local,324,2039
Chester State Correctional Institution ,Delaware County,Pennsylvania,42045,State,1969,76
Unlisted - Elk County,Elk County,Pennsylvania,42047,Unlisted,2266,210
Erie Correctional Facility,Erie County,Pennsylvania,42049,State,1621,6443
Erie County Jail,Erie County,Pennsylvania,42049,State,1289,3739
Erie County Prison,Erie County,Pennsylvania,42049,Local,1826,2765
Albion State Correctional Institution ,Erie County,Pennsylvania,42049,State,1497,2662
Unlisted - Erie County,Erie County,Pennsylvania,42049,Unlisted,682,5570
State Correctional Institution Fayette,Fayette County,Pennsylvania,42051,State,112,5110
Fayette State Correctional Institution ,Fayette County,Pennsylvania,42051,State,660,5198
Unlisted - Fayette County,Fayette County,Pennsylvania,42051,Unlisted,2255,1458
Forest State Correctional Institution,Forest County,Pennsylvania,42053,State,199,2212
Lehigh State Correctional Institution  ,Forest County,Pennsylvania,42053,State,2198,2770
Unlisted - Franklin County,Franklin County,Pennsylvania,42055,Unlisted,2128,768
Greene State Correctional Institution ,Greene County,Pennsylvania,42059,State,1413,491
Indiana County State Correctional Institution ,Greene County,Pennsylvania,42059,State,921,5930
Unlisted - Greene County,Greene County,Pennsylvania,42059,Unlisted,826,1914
State Correctional Institution-Huntingdon,Huntingdon County,Pennsylvania,42061,State,674,2087
State Correctional Institution-Smithfield,Huntingdon County,Pennsylvania,42061,State,412,6403
Huntingdon State Correctional Institution ,Huntingdon County,Pennsylvania,42061,State,247,688
Smithfield State Correctional Institution ,Huntingdon County,Pennsylvania,42061,State,2206,6521
Unlisted - Huntingdon County,Huntingdon County,Pennsylvania,42061,Unlisted,57,5976
Pine Grove State Correctional Institution,Indiana County,Pennsylvania,42063,State,2558,372
Unlisted - Indiana County,Indiana County,Pennsylvania,42063,Unlisted,1616,4863
Unlisted - Jefferson County,Jefferson County,Pennsylvania,42065,Unlisted,734,1072
Unlisted - Juniata County,Juniata County,Pennsylvania,42067,Unlisted,2376,1108
Lackawanna County Prison,Lackawanna County,Pennsylvania,42069,Local,1002,5405
Scranton Correctional Facility,Lackawanna County,Pennsylvania,42069,State,1007,4182
Unlisted - Lackawanna County,Lackawanna County,Pennsylvania,42069,Unlisted,2203,6829
Lancaster County Prison,Lancaster County,Pennsylvania,42071,Local,1241,4041
Unlisted - Lancaster County,Lancaster County,Pennsylvania,42071,Unlisted,2719,1298
Unlisted - Lawrence County,Lawrence County,Pennsylvania,42073,Unlisted,83,3044
Unlisted - Lebanon County,Lebanon County,Pennsylvania,42075,Unlisted,821,917
AllentownCorrectional Facility,Lehigh County,Pennsylvania,42077,State,1157,6627
Lehigh County Prison,Lehigh County,Pennsylvania,42077,Local,1175,944
Unlisted - Lehigh County,Lehigh County,Pennsylvania,42077,Unlisted,2000,4662
Luzerne County Correctional Facility,Luzerne County,Pennsylvania,42079,Local,555,2477
State Correctional Institution-Dallas,Luzerne County,Pennsylvania,42079,State,1202,5840
Retreat State Correctional Institution  ,Luzerne County,Pennsylvania,42079,State,237,6469
Dallas State Correctional Institution ,Luzerne County,Pennsylvania,42079,State,915,3886
Retreat Youth Correctional Institution  ,Luzerne County,Pennsylvania,42079,State,2417,5174
Unlisted - Luzerne County,Luzerne County,Pennsylvania,42079,Unlisted,723,5112
Federal Correctional Complex ,Lycoming County,Pennsylvania,42081,Federal,313,2241
Luzerne Federal Correctional Institution ,Lycoming County,Pennsylvania,42081,Federal,1215,4811
Lycoming State Correctional Institution ,Lycoming County,Pennsylvania,42081,State,567,356
Muncy State Correctional Institution ,Lycoming County,Pennsylvania,42081,State,62,2022
Unlisted - Lycoming County,Lycoming County,Pennsylvania,42081,Unlisted,1164,1815
McKean Federal Correctional Institution  ,McKean County,Pennsylvania,42083,Federal,1783,4909
Unlisted - McKean County,McKean County,Pennsylvania,42083,Unlisted,1146,3843
 Mercer Island State Correctional Institution,Mercer County,Pennsylvania,42085,State,916,140
Sharon Correctional Facility,Mercer County,Pennsylvania,42085,State,188,5114
State Correctional Institution – Mercer,Mercer County,Pennsylvania,42085,State,1849,2965
Unlisted - Mifflin County,Mifflin County,Pennsylvania,42087,Unlisted,1575,4458
Unlisted - Monroe County,Monroe County,Pennsylvania,42089,Unlisted,2628,5097
Montgomery County Correctional Facility,Montgomery County,Pennsylvania,42091,Local,1224,1628
State Correctional Institution-Graterford,Montgomery County,Pennsylvania,42091,State,1804,1499
State Correctional Institution – Phoenix,Montgomery County,Pennsylvania,42091,State,1240,3639
Unlisted - Montour County,Montour County,Pennsylvania,42093,Unlisted,407,1399
Unlisted - Northampton County,Northampton County,Pennsylvania,42095,Unlisted,1304,6903
State Correctional Institution-Coal Township,Northumberland County,Pennsylvania,42097,State,2763,4236
State Correctional Institution – Coal Township,Northumberland County,Pennsylvania,42097,State,145,3512
Unlisted - Northumberland County,Northumberland County,Pennsylvania,42097,Unlisted,746,5639
Unlisted - Perry County,Perry County,Pennsylvania,42099,Unlisted,1893,5758
Philadelphia Federal Detention Center ,Philadelphia County,Pennsylvania,42101,Federal,309,3939
Philadelphia Correctional Facility #2,Philadelphia County,Pennsylvania,42101,State,2019,2592
Philadelphia Correctional Facility #3,Philadelphia County,Pennsylvania,42101,State,181,5743
Philadelphia Correctional Facility #1,Philadelphia County,Pennsylvania,42101,Local,726,5040
Philadelphia Prison System,Philadelphia County,Pennsylvania,42101,Local,2024,5497
Unlisted - Philadelphia County IIII,Philadelphia County,Pennsylvania,42101,Unlisted,628,3467
Unlisted - Philadelphia County III,Philadelphia County,Pennsylvania,42101,Unlisted,1253,3530
Unlisted - Philadelphia County II,Philadelphia County,Pennsylvania,42101,Unlisted,1328,2427
Unlisted - Philadelphia County I,Philadelphia County,Pennsylvania,42101,Unlisted,2621,3067
Pike County Correctional Facility,Pike County,Pennsylvania,42103,State,243,6563
Unlisted - Pike County,Pike County,Pennsylvania,42103,Unlisted,189,5643
Unlisted - Potter County,Potter County,Pennsylvania,42105,Unlisted,2121,3285
Federal Correctional Institution  Schuylkill,Schuylkill County,Pennsylvania,42107,State,2488,2249
Schuylkill County Federal Correctional Institution ,Schuylkill County,Pennsylvania,42107,Federal,880,4232
Mahoney State Women's Correctional Institution-,Schuylkill County,Pennsylvania,42107,State,1096,3341
Frackville State Correctional Institution ,Schuylkill County,Pennsylvania,42107,State,400,6554
Mahanoy State Correctional Institution ,Schuylkill County,Pennsylvania,42107,State,1197,3069
Unlisted - Schuylkill County,Schuylkill County,Pennsylvania,42107,Unlisted,2540,2189
Unlisted - Somerset County,Somerset County,Pennsylvania,42111,State,2501,6448
Unlisted - Snyder County,Snyder County,Pennsylvania,42109,Unlisted,1769,3281
State Correctional Institution-Laurel Highlands,Somerset County,Pennsylvania,42111,State,1598,2338
State Correctional Institution-Somerset,Somerset County,Pennsylvania,42111,State,878,6683
State Correctional Institution – Laurel Highlands,Somerset County,Pennsylvania,42111,State,2644,3751
State Correctional Institution – Somerset,Somerset County,Pennsylvania,42111,State,1754,6831
Unlisted - Susquehanna County,Susquehanna County,Pennsylvania,42115,Unlisted,319,2458
Unlisted - Tioga County,Tioga County,Pennsylvania,42117,Unlisted,1862,4265
Allenwood Federal Correctional Complex ,Union County,Pennsylvania,42119,Federal,1122,4639
Union County United States Penitentiary ,Union County,Pennsylvania,42119,Federal,2642,630
Unlisted - Union County,Union County,Pennsylvania,42119,Unlisted,2436,2297
Lewisburg Correctional Facility,Union County,Pennsylvania,42119,Federal,148,1311
Unlisted - Venango County,Venango County,Pennsylvania,42121,Unlisted,936,6698
Unlisted - Warren County,Warren County,Pennsylvania,42123,Unlisted,1774,3406
Unlisted - Washington County,Washington County,Pennsylvania,42125,Unlisted,1188,4348
Waymart State Correctional Institution,Wayne County,Pennsylvania,42127,State,2210,2442
Waymart Women's State Correctional Institution ,Wayne County,Pennsylvania,42127,State,2088,5283
Wayne County States Penitentiary ,Wayne County,Pennsylvania,42127,Federal,1652,5239
Unlisted - Wayne County,Wayne County,Pennsylvania,42127,Unlisted,2265,6652
Alle Kiski Pavilion Correctional Facility,Westmoreland County,Pennsylvania,42129,Private,2521,5990
State Correctional Institution-Greensburg,Westmoreland County,Pennsylvania,42129,State,267,5706
Unlisted - Westmoreland County,Westmoreland County,Pennsylvania,42129,Unlisted,960,6969
Unlisted - Wyoming County,Wyoming County,Pennsylvania,42131,Unlisted,2759,3307
Unlisted - York County,York County,Pennsylvania,42133,Unlisted,350,6681
York Correctional Facility,York County,Pennsylvania,42133,State,1462,4189
York County Jail,York County,Pennsylvania,42133,Local,1296,35
York County Prison,York County,Pennsylvania,42133,State,926,6038
Anthony P. Travisono Intake Service Center,Providence County,Rhode Island,44007,State,2773,5531
Donald Price Medium Security Facility,Providence County,Rhode Island,44007,State,2378,6017
Donald W. Wyatt Detention Facility,Providence County,Rhode Island,44007,Private,374,492
Dorothea Dix Minimum Security Facility,Providence County,Rhode Island,44007,State,64,2626
Dorothea Dix Med Security Facility,Providence County,Rhode Island,44007,State,695,5974
Gloria McDonald Awaiting Trial,Providence County,Rhode Island,44007,State,180,5853
Providence County Medium Security Facility,Providence County,Rhode Island,44007,State,1436,1778
Gloria McDonald Medium Security Facility ,Providence County,Rhode Island,44007,State,1066,1153
Gloria McDonald Maximum,Providence County,Rhode Island,44007,State,1962,4528
Providence County High Security Center,Providence County,Rhode Island,44007,State,2273,5507
Providence County Intake Service Center,Providence County,Rhode Island,44007,State,199,4215
John J. Moran Medium Security Facility,Providence County,Rhode Island,44007,State,503,5983
Providence County Max Security,Providence County,Rhode Island,44007,State,2080,2557
Providence County Medium Security,Providence County,Rhode Island,44007,State,1017,3422
Providence County Minimum Security,Providence County,Rhode Island,44007,State,2384,233
Rhode Island Maximum Security Prison,Providence County,Rhode Island,44007,State,2052,1139
Wyatt Detention Center,Providence County,Rhode Island,44007,State,1079,6140
Abbeville County Detention Center,Abbeville County,South Carolina,45001,Local,2487,375
Lower Savannah Pre-Release Center,Abbeville County,South Carolina,45001,Local,2170,3065
Aiken County Detention Center,Aiken County,South Carolina,45003,"State,Local",1138,340
Allendale Correctional Institution,Allendale County,South Carolina,45005,State,2356,3829
Allendale County Jail,Allendale County,South Carolina,45005,Local,1027,3021
Anderson City Jail,Anderson County,South Carolina,45007,Local,2220,5276
Anderson County Jail,Anderson County,South Carolina,45007,Local,2608,3678
Bamberg County Jail,Bamberg County,South Carolina,45009,Local,390,1346
Barnwell County Detention Center,Barnwell County,South Carolina,45011,Local,412,4245
Beaufort County Detention Center,Beaufort County,South Carolina,45013,Local,1927,68
Berkeley County Detention Center,Berkeley County,South Carolina,45015,Local,385,4098
McDougall Correctional Institution,Berkeley County,South Carolina,45015,State,774,5505
Unlisted - Berkeley County,Berkeley County,South Carolina,45015,Unlisted,1289,1001
Charleston County Detention Center,North Charleston,South Carolina,45019,State,286,3374
Charleston County Pre-Release Center,Charleston County,South Carolina,45019,"State,Local",645,5317
Charleston County Jail Coastal Pre-Release Center,Charleston County,South Carolina,45019,"State,Local",318,4289
Cherokee County Detention Center,Cherokee County,South Carolina,45021,Local,568,6564
Chester County Detention Center,Chester County,South Carolina,45023,Local,428,4134
Chesterfield County Work Camp,Chesterfield County,South Carolina,45025,Local,2128,6477
Chesterfield County Detention Center,Chesterfield County,South Carolina,45025,Local,1414,4562
Clarendon County Jail,Clarendon County,South Carolina,45027,Local,880,4125
Manning Correctional Institution ,Clarendon County,South Carolina,45027,State,1667,5240
Turbeville Correctional Institute,Clarendon County,South Carolina,45027,State,608,5571
Darlington County Correctional Center,Darlington County,South Carolina,45031,Local,2221,1658
Unlisted - Darlington County,Darlington County,South Carolina,45031,Unlisted,2514,3831
Dillon County Detention Center,Dillon County,South Carolina,45033,Local,1957,3300
Dorchester County Jail,Dorchester County,South Carolina,45035,Local,1414,4314
Lieber Correctional Institution,Dorchester County,South Carolina,45035,State,2241,917
MacDougall Correctional Institution ,Dorchester County,South Carolina,45035,State,2698,3121
Edgefield County Jail,Edgefield County,South Carolina,45037,Local,2099,6468
Edgefield Federal Correctional Camp,Edgefield County,South Carolina,45037,Federal,2584,1769
Edgefield County Federal Correctional Institution ,Edgefield County,South Carolina,45037,Federal,1977,1543
Trenton Correctional Institution,Edgefield County,South Carolina,45037,State,694,2489
Fairfield County Detention Center,Fairfield County,South Carolina,45039,Local,1626,2814
Florence County Detention Center,Florence County,South Carolina,45041,Local,2342,6829
Palmer Pre-Release Center,Florence County,South Carolina,45041,State,477,1130
Georgetown County Jail,Georgetown County,South Carolina,45043,Local,1579,6356
Greeneville County Detention Center,Greenville County,South Carolina,45045,Local,946,5029
Perry Correctional Institution,Greenville County,South Carolina,45045,State,1553,4915
Greenwood County Detention Center,Greenwood County,South Carolina,45047,Local,658,2008
Leath Correctional Institution,Greenwood County,South Carolina,45047,State,79,5276
Estill Federal Correctional Camp,Hampton County,South Carolina,45049,Federal,948,4299
Hampton County Federal Correctional Institution ,Hampton County,South Carolina,45049,Federal,745,926
Hampton County Jail,Hampton County,South Carolina,45049,Local,891,3870
Horry County Detention Center,Horry County,South Carolina,45051,Local,297,3122
Jasper County Jail,Jasper County,South Carolina,45053,Local,1016,5554
Jasper Correctional Institution,Jasper County,South Carolina,45053,State,2775,2566
Ridgeland Correctional Institution,Jasper County,South Carolina,45053,State,1444,5370
Lancaster Correctional Institution,Lancaster County,South Carolina,45057,State,1620,1379
Kershaw Correctional Institution,Lancaster County,South Carolina,45057,State,2006,2365
Lancaster County Detention Center,Lancaster County,South Carolina,45057,Local,2301,6457
Laurens County Detention Center,Laurens County,South Carolina,45059,Local,1321,581
Lexington Correctional Institution,Lee County,South Carolina,45061,State,890,2099
Lee Correctional Institution,Lee County,South Carolina,45061,State,2003,3776
Lexington County Jail,Lexington County,South Carolina,45063,Local,268,2139
McCormick Correctional Institution,McCormick County,South Carolina,45065,State,1500,2897
BennettsvilleFederal Correctional Camp,Marlboro County,South Carolina,45069,Federal,1106,3212
Evans Correctional Institution,Marlboro County,South Carolina,45069,State,2769,6843
Marlboro County Federal Correctional Institution ,Marlboro County,South Carolina,45069,Federal,1008,111
Marlboro County Jail,Marlboro County,South Carolina,45069,Local,704,424
Newberry County Detention Center,Newberry County,South Carolina,45071,Local,2059,5175
Oconee Law Enforcement Center,Oconee County,South Carolina,45073,Local,1211,5969
Unlisted - Oconee County,Oconee County,South Carolina,45073,Unlisted,2266,1337
Orangeburg Regional Detention Center,Orangeburg County,South Carolina,45075,Local,165,6489
Calhoun Regional Detention Center,Orangeburg County,South Carolina,45075,Local,582,6890
Pickens County Jail,Pickens County,South Carolina,45077,Local,1582,5348
Pickens County Prison,Pickens County,South Carolina,45077,Local,1381,2234
Broad River and Kirkland Correctional Institutions,Richland County,South Carolina,45079,State,1730,965
Broad River Correctional Institution,Richland County,South Carolina,45079,State,2441,2920
Camille Graham Women's Correctional Institution,Richland County,South Carolina,45079,State,1308,5076
Camille Griffin Graham Correctional Institution,Richland County,South Carolina,45079,State,974,5834
Alston Wilkes Society Correctional Center,Richland County,South Carolina,45079,Private,2086,826
Goodman Correctional Institution ,Richland County,South Carolina,45079,State,463,3190
Kirkland Correctional Institution,Richland County,South Carolina,45079,State,1405,1404
Manning Correctional Institution,Richland County,South Carolina,45079,State,208,3287
Richland County Detention Center,Richland County,South Carolina,45079,Local,1016,2195
Stevenson Correctional Institution,Richland County,South Carolina,45079,State,1286,1526
Unlisted - Richland County,Richland County,South Carolina,45079,Unlisted,1338,4053
Walden Correctional Institution ,Richland County,South Carolina,45079,State,1145,256
Livesay Correctional Institution ,Spartanburg County,South Carolina,45083,State,2455,286
Livesay Pre-Release Center,Spartanburg County,South Carolina,45083,State,888,6981
Spartanburg County Detention Facility,Spartanburg County,South Carolina,45083,Local,1139,6387
Tyger River Correctional Institution,Spartanburg County,South Carolina,45083,State,2753,4686
Unlisted - Spartanburg County,Spartanburg County,South Carolina,45083,Unlisted,2023,2732
Wateree River Correctional Institution ,Sumter County,South Carolina,45085,State,704,2759
Unlisted - Union County,Union County,South Carolina,45087,Unlisted,187,1548
Williamsburg County Federal Correctional Institution ,Williamsburg County,South Carolina,45089,Federal,247,3470
Unlisted - Williamsburg County,Williamsburg County,South Carolina,45089,Unlisted,2616,6034
Catawba Pre-Release Center,York County,South Carolina,45091,State,2116,1683
Unlisted - York County,York County,South Carolina,45091,Unlisted,253,6044
Beadle County Regional Corrections Center,Beadle County,South Dakota,46005,Local,1215,1716
Bon Homme County Jail,Bon Homme County,South Dakota,46009,Local,442,3011
Mike Durfee State Prison,Bon Homme County,South Dakota,46009,State,2485,2971
Brookings County Jail,Brookings County,South Dakota,46011,Local,941,4662
Brown County Jail,Brown County,South Dakota,46013,Local,1746,1038
Brule County Jail,Brule County,South Dakota,46015,Local,443,1201
Charles Mix County Jail,Charles Mix County,South Dakota,46023,Local,1011,505
Clay County Jail,Clay County,South Dakota,46027,Local,1615,2793
Codington County Detention Center,Codington County,South Dakota,46029,Local,2657,5643
Patrick H. Brady Academy Detention Center,,South Dakota,46033,State,2046,5624
State Treatment and Rehabilitation Academy,,South Dakota,46033,State,430,6437
Youth Challenge Center,,South Dakota,46033,State,945,5520
Community Alcohol Drug Center,Davison County,South Dakota,46035,Private,678,2042
Day County Jail,Day County,South Dakota,46037,Local,1413,3296
Edmunds County Jail,Edmunds County,South Dakota,46045,Local,1073,6030
Fall River County Jail,Fall River County,South Dakota,46047,Local,22,6830
Faulk County Jail,Faulk County,South Dakota,46049,Local,1782,186
Grant County Milbank Detention Center,Grant County,South Dakota,46051,Local,1813,3649
South Dakota Women's Prison,Hughes County,South Dakota,46065,State,1552,4313
Lake County Jail,Lake County,South Dakota,46079,Local,1355,4382
Lawrence County Jail,Lawrence County,South Dakota,46081,Local,1812,5755
Marshall County Jail,Marshall County,South Dakota,46091,Local,2748,6052
Meade County Jail,Meade County,South Dakota,46093,Local,1563,5444
Glory House of Sioux Falls,Minnehaha County,South Dakota,46099,Halfway House,604,1433
Minnehaha County Detention Center,Minnehaha County,South Dakota,46099,Local,2305,1809
South Dakota State Penitentiary ,Minnehaha County,South Dakota,46099,State,2334,6133
The West Farm Detention Center,Minnehaha County,South Dakota,46099,State,668,4447
Unlisted - Minnehaha County,Minnehaha County,South Dakota,46099,Unlisted,2647,1262
Behavior Management Systems,Pennington County,South Dakota,46103,Halfway House,502,3684
Community Alternatives Youth  Detention Center,Pennington County,South Dakota,46103,Halfway House,2141,6039
Pennington County Jail,Pennington County,South Dakota,46103,Local,1581,3881
Pennington County Sheriff's Department,Pennington County,South Dakota,46103,Halfway House,1066,2888
Rapid City Minimum Unit,Pennington County,South Dakota,46103,State,755,89
Rapid City Trustee Unit,Pennington County,South Dakota,46103,State,1977,3429
Roberts County Jail,Roberts County,South Dakota,46109,Local,217,500
Unlisted - Todd County,Todd County,South Dakota,46121,Unlisted,942,3411
Winner City Jail,Tripp County,South Dakota,46123,Local,418,2878
Union County Jail,Union County,South Dakota,46127,Local,1850,4927
Walworth County Jail,Walworth County,South Dakota,46129,Local,859,5804
Dakota Federal Prison Camp ,Yankton County,South Dakota,46135,Federal,2691,5524
Yankton Federal Prison Camp ,Yankton County,South Dakota,46135,Federal,2606,4658
Unlisted - Yankton County,Yankton County,South Dakota,46135,Unlisted,2777,3811
Yankton Minimum Detention Unit,Yankton County,South Dakota,46135,State,2365,1768
Yankton Trustee Detention Unit,Yankton County,South Dakota,46135,State,1247,1891
Anderson County Detention Facility,Anderson County,Tennessee,47001,Local,983,3555
Bedford County Jail,Bedford County,Tennessee,47003,Local,2771,4211
Bedford County Police Department,Bedford County,Tennessee,47003,Local,2317,1522
Benton County Jail,Benton County,Tennessee,47005,Local,820,6862
Bledsoe County Correctional Complex  ,Bledsoe County,Tennessee,47007,County,1022,4928
Pikeville Correctional Complex,Bledsoe County,Tennessee,47007,County,403,2212
Bledsoe County Jail,Bledsoe County,Tennessee,47007,Local,956,6768
Southeastern Tennessee State Regional Correctional Facility,Bledsoe County,Tennessee,47007,State,2532,6814
Blount County Jail,Blount County,Tennessee,47009,Local,889,3748
Bradley County Justice Center,Bradley County,Tennessee,47011,Local,362,834
Campbell County Jail,Campbell County,Tennessee,47013,Local,113,3867
Cannon County Jail,Cannon County,Tennessee,47015,Local,1704,1810
Carroll County Jail,Carroll County,Tennessee,47017,Local,772,734
Carter County Jail and Workhouse,Carter County,Tennessee,47019,Local,66,5716
Northeastern Correctional Complex Annex,Carter County,Tennessee,47019,State,299,6678
Cheatham County Criminal Justice Center,Cheatham County,Tennessee,47021,Local,806,6233
Chester County Jail,Chester County,Tennessee,47023,Local,1367,3770
Claiborne County Jail,Claiborne County,Tennessee,47025,Local,1493,5665
Clay County Jail,Clay County,Tennessee,47027,Local,2168,1695
Cocke County Jail,Cocke County,Tennessee,47029,Local,961,3121
Cocke County Annex,Cocke County,Tennessee,47029,Local,2755,4864
Coffee County Jail,Coffee County,Tennessee,47031,Local,1281,5135
Cumberland County Jail,Cumberland County,Tennessee,47035,Local,1473,6626
Davidson County Criminal Justice Center,Davidson County,Tennessee,47037,Local,2108,2793
Hill Detention Center,Davidson County,Tennessee,47037,State,820,337
Lois M. DeBerry Special Needs Facility ,Davidson County,Tennessee,47037,State,2227,3801
Metro Davidson County Detention Facility,Davidson County,Tennessee,47037,Other,418,842
Offender Re-Entry Center,Davidson County,Tennessee,47037,State,2383,3343
Correctional Development Center,Davidson County,Tennessee,47037,State,2093,5691
Lois M. DeBerry Special Needs Facility,Davidson County,Tennessee,47037,State,456,6253
Riverbend Maximum Security Institution,Davidson County,Tennessee,47037,State,2147,3840
Middle Tennessee Correctional Complex,Davidson County,Tennessee,47037,State,2594,2581
Middle Tennessee Mental Health Institute,Davidson County,Tennessee,47037,Unlisted,18,1905
Riverbend Med/Low Security Institution ,Davidson County,Tennessee,47037,State,2597,3324
Tennessee Prison for Women,Davidson County,Tennessee,47037,State,1922,2059
Tennessee Prison for Youths,Davidson County,Tennessee,47037,State,1137,1313
Tennessee Prison for Women Annex,Davidson County,Tennessee,47037,State,1901,5599
